PERSONAL PLANS	ŞƏXSİ PLANLAR
Tracked Documents	İzlənilən sənədlər
Storage	Yaddaş
Profile CVs	Profil CV-ləri
Manual Document Upload	Sənədin əl ilə yüklənməsi
QR Phone Upload	Telefonla QR yükləməsi
AI Document Scans	AI sənəd skanları
AI CV Generations	AI CV hazırlanması
Included	Daxildir
1 lifetime	Birdəfəlik 1
15 / month	Ayda 15
50 / month	Ayda 50
150 / month	Ayda 150
300 / month	Ayda 300
750 / month	Ayda 750
500 / month	Ayda 500
3 / month	Ayda 3
5 / month	Ayda 5
7 / month	Ayda 7
10 / month	Ayda 10
Career profile and sharing	Karyera profili və paylaşım
Personal Profile	Şəxsi profil
References and Appraisals	Tövsiyələr və qiymətləndirmələr
Work Availability	İşə hazırlıq statusu
General Controlled Share Link	Ümumi idarə olunan paylaşım keçidi
Candidate Directory Visibility	Namizədlər kataloqunda görünmə
24-hour Recruiter Sharing	Rekrutorla 24 saatlıq paylaşım
Not included	Daxil deyil
Job discovery and professional routes	Vakansiya axtarışı və peşəkar əlaqələr
Limited access	Məhdud çıxış
Full access	Tam çıxış
Vacancy Catalogue	Vakansiya kataloqu
Latest 30	Ən son 30
Full catalogue	Tam kataloq
Newest Vacancies	Ən yeni vakansiyalar
6-hour delay	6 saat gecikmə ilə
Immediate access	Dərhal çıxış
Recruiter Details and Contacts	Rekrutor məlumatları və əlaqələri
Direct Apply	Birbaşa müraciət
Original Source Links	Orijinal mənbə keçidləri
Recruiter Directory	Rekrutor kataloqu
Official Company Directory	Rəsmi şirkətlər kataloqu
Preview	Önbaxış
Expiry alerts	Bitmə tarixi bildirişləri
Email Expiry Alerts	E-poçt bildirişləri
WhatsApp Expiry Alerts	WhatsApp bildirişləri
Unlimited	Limitsiz
Recruiter contact and email actions appear only when ATSRS has a verified professional route. Silver, Gold and Titan limits are planned and may be refined before paid billing opens.	Rekrutorun əlaqə və e-poçt imkanları yalnız ATSRS-də təsdiqlənmiş peşəkar əlaqə vasitəsi olduqda göstərilir. Silver, Gold və Titan limitləri planlaşdırılıb və ödəniş aktivləşdirilənədək dəqiqləşdirilə bilər.
START WITHOUT A CARD	BANK KARTI OLMADAN BAŞLAYIN
Test the ATSRS workflow with Free.	ATSRS imkanlarını pulsuz planla sınayın.
Paid checkout will open only after final allowances and subscription terms are published.	Ödənişli keçid yekun limitlər və abunə şərtləri dərc edildikdən sonra açılacaq.
